Term (English),Norsk oversettelse,Kategori,Pronunciation (IPA),Definition (English),Example sentence,Norsk definisjon
Consolidation,Konsolidering,Geoteknikk & terreng,/kənˌsɒlɪˈdeɪʃən/,The time-dependent compression of a saturated fine-grained soil under applied load as water drains from the pore spaces.,Settlement calculations based on consolidation theory predicted 150 mm of long-term subsidence under the road embankment.,"Geomorfologisk begrep som beskriver «consolidation» som en terrengform, geologisk prosess eller landskapselement."
Topography,Topografi,Landskapsarkitektur (generelt),/təˈpɒɡrəfi/,The arrangement of the natural and artificial features of the land surface; including relief; slope; and spatial form.,The dramatic topography of the fjord landscape defines the experiential quality of the road journey.,Begrep innen landskapsarkitektur som beskriver «topography» og hvordan dette fenomenet eller elementet inngår i landskap og planlegging.
Viewshed,Synsfelt / utsiktsområde,Landskapsarkitektur (generelt),/ˈvjuːʃed/,The total area of terrain visible from a given observation point.,The viewshed analysis revealed that the proposed gallery structure would interrupt the panoramic fjord view from three kilometres away.,Begrep innen landskapsarkitektur som beskriver «viewshed» og hvordan dette fenomenet eller elementet inngår i landskap og planlegging.
Cultural landscape,Kulturlandskap,Landskapsarkitektur (generelt),/ˈkʌltʃərəl ˈlændskeɪp/,A landscape that reflects the interaction between human activity and the natural environment over time; carrying layers of cultural meaning.,The fjord shoreline constitutes a cultural landscape shaped by centuries of farming; fishing; and travel.,Begrep innen landskapsarkitektur som beskriver «cultural landscape» og hvordan dette fenomenet eller elementet inngår i landskap og planlegging.
Spatial sequence,Romlig sekvens / romforløp,Landskapsarkitektur (generelt),/ˈspeɪʃəl ˈsiːkwəns/,The series of spaces or spatial experiences encountered along a route or through a designed environment.,The spatial sequence along the road alternates between exposed cliff faces and sheltered fjord coves.,Begrep innen landskapsarkitektur som beskriver «spatial sequence» og hvordan dette fenomenet eller elementet inngår i landskap og planlegging.
Mimesis,Mimesis / etterlikning,Landskapsarkitektur (generelt),/mɪˈmiːsɪs/,The design principle of imitating or reflecting the forms; materials; and patterns of the natural landscape.,The protective gallery employed mimesis; its angled roof form echoing the slope geometry of the mountain above.,Begrep innen landskapsarkitektur som beskriver «mimesis» og hvordan dette fenomenet eller elementet inngår i landskap og planlegging.
Threshold,Terskel / overgangsrom,Landskapsarkitektur (generelt),/ˈθreʃhoʊld/,A transitional space or moment that marks the passage between two distinct spatial conditions.,The entrance portal of the gallery acts as a threshold between the open fjord landscape and the covered road space.,Begrep innen landskapsarkitektur som beskriver «threshold» og hvordan dette fenomenet eller elementet inngår i landskap og planlegging.
Vantage point,Utsiktspunkt,Landskapsarkitektur (generelt),/ˈvæntɪdʒ pɔɪnt/,An elevated or otherwise favourable position from which a landscape can be surveyed and appreciated.,The lay-by was positioned at the natural vantage point where the full extent of the fjord becomes visible.,Begrep innen landskapsarkitektur som beskriver «vantage point» og hvordan dette fenomenet eller elementet inngår i landskap og planlegging.
Landform,Landform / terrengform,Landskapsarkitektur (generelt),/ˈlændfɔːm/,A natural feature of the earth's surface created by geological and geomorphological processes.,The landform of the U-shaped valley is a direct expression of glacial erosion over millennia.,Begrep innen landskapsarkitektur som beskriver «landform» og hvordan dette fenomenet eller elementet inngår i landskap og planlegging.
Vernacular landscape,Stedstypisk / stedegen landskap,Landskapsarkitektur (generelt),/vəˈnækjʊlər ˈlændskeɪp/,A landscape that embodies locally distinctive patterns; materials; and traditions rooted in place.,Residents argued that the proposed bridge would undermine the vernacular landscape character of the fjord.,Begrep innen landskapsarkitektur som beskriver «vernacular landscape» og hvordan dette fenomenet eller elementet inngår i landskap og planlegging.
Interstitial space,Mellomrom / restrom,Landskapsarkitektur (generelt),/ˌɪntəˈstɪʃəl speɪs/,A residual or in-between space created by infrastructure or building; often overlooked but carrying spatial potential.,The underside of the gallery creates an interstitial space that could serve as a sheltered rest area for travellers.,Begrep innen landskapsarkitektur som beskriver «interstitial space» og hvordan dette fenomenet eller elementet inngår i landskap og planlegging.
Prospect,Utsikt / prospekt,Landskapsarkitektur (generelt),/ˈprɒspekt/,An open view over a wide area of landscape; associated with a sense of visual control and spatial orientation.,The prospect across the fjord is among the most valued qualities of the road experience for local residents.,Begrep innen landskapsarkitektur som beskriver «prospect» og hvordan dette fenomenet eller elementet inngår i landskap og planlegging.
Datum,Referanseplan / referanselinje,Landskapsarkitektur (generelt),/ˈdeɪtəm/,A reference plane or line from which spatial relationships and measurements are established in a design.,The fjord water surface functions as a horizontal datum against which the vertical drama of the cliffs is perceived.,Begrep innen landskapsarkitektur som beskriver «datum» og hvordan dette fenomenet eller elementet inngår i landskap og planlegging.
